organization,occurtime,motivation,introduction,referlink
海莲花,2013,信息窃取与间谍活动,海莲花（OceanLotus）组织，似越南政府背景，攻击活动至少可追溯到2012年，长期针对中国及其他东亚国家（地区）政府、科研机构、海运企业等领域进行攻击。其会对在越南制造业、科技公司、消费品行业和酒店业中有既得利益的外国企业进行了长时间的入侵与渗透，以及一直会以外国政府和对越南持不同政治意见的个人和媒体为主要目标。从2012年至今，持续对中国政府、科研院所、海事机构、海域建设、航运企业等相关重要领域进行长时间 不间断攻击。至今十分活跃。,"https://ti.dbappsecurity.com.cn/apt/dc527634-307f-11eb-9593-ac1f6b480078/overview,https://apt.360.net/orgDetail/1,https://ti.qianxin.com/apt/detail/5aa0eed8d70a3f07e3f73891?name=%E6%B5%B7%E8%8E%B2%E8%8A%B1&type=map"
蔓灵花,2013,信息窃取与间谍活动,蔓灵花(Bitter)是一个来自南亚某国的APT组织，长期针对中国及巴基斯坦的政府、军工、电力、核等部门发动网络攻击，窃取敏感资料，具有较强的政治背景。是目前活跃的针对境内目标进行攻击的境外APT组织之一。该组织最早在2016由美国安全公司Forcepoint进行了披露，他们发现攻击者使用的远程访问工具（RAT）变体使用的网络通信头包含 “BITTER”，所以该这次攻击命名为“BITTER”。其攻击活动最早可追溯到2013年，从2016年始出现对国内的攻击活动。,"https://ti.dbappsecurity.com.cn/apt/dc670d3a-307f-11eb-9593-ac1f6b480078/overview,https://apt.360.net/orgDetail/5,https://ti.qianxin.com/apt/detail/5acb2bd9596a10001a1a9797?name=%E8%94%93%E7%81%B5%E8%8A%B1&type=map"
毒云藤,2007,信息窃取与间谍活动,毒云藤，又名绿斑、APT-C-01等，是一个长期针对国内国防、政府、科技和教育领域的重要机构实施网络间谍攻击活动的APT团伙，最早可以追溯到2007年。该组织惯用鱼叉式钓鱼网络攻击，会选取与攻击目标贴合的诱饵内容进行攻击活动，惯用的主题包括通知、会议材料、研究报告等或是采用攻击时间段时事主题。除了附件投递木马外，毒云藤还惯用钓鱼网站钓鱼，窃取目标的账户密码，进而获得更多重要信息。该组织主要关注方向包括：海事、军工、涉台两岸关系、中美关系等。,https://ti.dbappsecurity.com.cn/apt/7510ddc2-345f-11eb-9593-ac1f6b480078/，https://apt.360.net/orgDetail/2，https://ti.qianxin.com/apt/detail/5acb2add596a100015e5df0f?name=%E6%AF%92%E4%BA%91%E8%97%A4&type=map
响尾蛇,2012,信息窃取与间谍活动,响尾蛇( Sidewinder)是2018年才被披露的网络威胁组织，疑似与印度有关。该组织长期针对中国和巴基斯坦等东南亚国家的政府，能源，军事，矿产等领域进行敏感信息窃取等攻击活动。SideWinder的最早活动可追溯到2012年，被捕获的诱饵文档中包含“巴基斯坦政府经济事务部”等关键字，可见是对特定目标的定向攻击行为。从近几年该组织活动来看也会针对国内特定目标进行攻击，如驻华大使馆，特定部门等。,"https://ti.dbappsecurity.com.cn/apt/dd4b4019-307f-11eb-9593-ac1f6b480078/overview,https://apt.360.net/report/apts/92.html,https://ti.qianxin.com/apt/detail/5b2c7065596a10000e5f56ec?name=Sidewinder&type=map"
Lazarus,2007,信息窃取与间谍活动、破坏活动、金融犯罪,Lazarus组织被认为是来自朝鲜的APT组织，攻击目标遍布全球，最早的活动时间可以追溯至2007年，其主要目标包括国防、政府、金融、能源等，早期主要以窃取情报为目的，自2014年后进行业务扩张，攻击目标拓展到金融机构、虚拟货币交易所等具有较高经济价值的对象。资料显示，2014 年索尼影业遭黑客攻击事件、2016 年孟加拉国银行数据泄露事件、2017年美国国防承包商和能源部门、同年英韩等国比特币交易所攻击事件以及今年针对众多国家国防和航空航天公司的攻击等事件皆被认为与此组织有关。,"https://ti.dbappsecurity.com.cn/apt/dcdf3bc7-307f-11eb-9593-ac1f6b480078/overview,https://ti.qianxin.com/apt/detail/5aaa4e8dd70a3f288fde5d18?name=Lazarus%20Group&type=map"
摩诃草,2013,信息窃取与间谍活动,Patchwork组织， 是一个来自于南亚地区的境外APT组织。该组织最早由Norman安全公司于2013年曝光，随后又有其他安全厂商持续追踪并披露该组织的最新活动，但该组织并未由于相关攻击行动曝光而停止对相关目标的攻击。白象APT组织主要针对中国、巴基斯坦等亚洲地区国家进行网络间谍活动，其中以窃取敏感信息为主.相关攻击活动最早可以追溯到2009年11月，至今还非常活跃.在针对中国地区的攻击中，该组织主要针对政府机构、科研教育领域进行攻击，其中以科研教育领域为主。,"https://ti.dbappsecurity.com.cn/apt/dd21bbd6-307f-11eb-9593-ac1f6b480078/overview,https://apt.360.net/orgDetail/6,https://ti.qianxin.com/apt/detail/5aa10b90d70a3f2810c4d3c5?name=%E6%91%A9%E8%AF%83%E8%8D%89&type=map"
肚脑虫,2018,信息窃取与间谍活动,肚脑虫（Donot）组织，具有印度背景，主要针对巴基斯坦、克什米尔地区等南亚地区国家进行网络间谍活动的组织，通常以窃密敏感信息为目的。该组织具备针对Windows与Android双平台的攻击能力，其主要使用yty和EHDevel等恶意软件框架。攻击活动最早发现在2016年4月，目前仍持续活跃。国内受影响度相对较小。,"https://ti.dbappsecurity.com.cn/apt/dca2616a-307f-11eb-9593-ac1f6b480078/overview,https://apt.360.net/orgDetail/32,https://ti.qianxin.com/apt/detail/5b555624596a10001f70e320?name=%E8%82%9A%E8%84%91%E8%99%AB&type=map"
黑店,2007,信息窃取与间谍活动,Darkhotel，是一个来自朝鲜半岛的网络间谍组织，近几年来最活跃的APT组织之一，是一个老牌组织，至少存在10年以上。此前因其攻击目标是入住高端酒店的商务人士或有关国家政要，以酒店WiFi网络为入口对目标进行攻击，因此得名DarkHotel ，中文译作“黑店”。主要攻击对象包括电子通信、商贸行业、工业等企业及高管、有关国家政要人物和政要机构等，目标遍布中国、朝鲜、日本、缅甸、俄罗斯等多个国家。技术实力深厚，如在多次行动中使用0day进行攻击。,"https://ti.dbappsecurity.com.cn/apt/dc9b0d62-307f-11eb-9593-ac1f6b480078/,https://apt.360.net/orgDetail/3,https://ti.qianxin.com/apt/detail/5acb2b01596a100021a3089e?name=Darkhotel&type=map"
人面狮,2011,信息窃取与间谍活动,人面狮行动是活跃在中东地区的网络间谍活动，主要目标可能涉及到埃及和以色列等国家的不同组织，目的是窃取目标敏感数据信息。活跃时间主要集中在 2014 年 6 月到 2015年 11 月期间，相关攻击活动最早可以追溯到 2011 年 12 月。主要采用利用社交网络进行水坑攻击。,"https://ti.dbappsecurity.com.cn/apt/dd582f7f-307f-11eb-9593-ac1f6b480078/overview.https://apt.360.net/orgDetail/8,https://ti.qianxin.com/apt/detail/5b23870a596a10001864aa6b?name=%E4%BA%BA%E9%9D%A2%E7%8B%AE&type=map"
黑格莎,2016,未知,黑格莎组织是2019年披露的一个来自朝鲜半岛的专业APT组织，因为其常用higaisa作为加密密码而得名。该组织具有政府背景，其活动至少可以追溯到2016年，且一直持续活跃。该组织常利用节假日、朝鲜国庆等朝鲜重要时间节点来进行钓鱼活动，诱饵内容包括新年祝福、元宵祝福、朝鲜国庆祝福，以及重要新闻、海外人员联系录等等。被攻击的对象包括跟朝鲜相关的外交实体（如驻各地大使馆官员）、政府官员、人权组织、朝鲜海外居民、贸易往来人员等，受害国家包括中国、朝鲜、日本、尼泊尔、新加坡、俄罗斯、波兰、瑞士等。,https://ti.dbappsecurity.com.cn/apt/d7a428e3-353f-11eb-9593-ac1f6b480078/overview
